Name,Date_time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
QVDA3,11/15/20,76,51,64.4,48.2,,0,0,0,0,4.4,8.1,15,5,19.6,Clear
QVDA3,11/16/20,81.9,38,58.5,33.5,79.6,0,0,0,0,5.9,10.3,15,4.7,27.5,Clear
QVDA3,11/17/20,81.9,44,60.7,40.6,79.6,1,0,0,0,6.7,15,15,14.2,28.3,Clear
QVDA3,11/18/20,74,47,61.6,44.2,,1,0,0,0,7.8,17.2,15,14.7,33.3,Clear
QVDA3,11/19/20,74,47,61.4,44.9,,1,0,0,0,7.4,17.2,15,22.9,38.8,Clear
QVDA3,11/20/20,71,47,59.8,44.2,,4,0.01,0,0,8.2,17.2,15,35.8,42.9,Partially cloudy
QVDA3,11/21/20,69,44,56.2,41.4,,8,0,0,0,6.3,12.8,15,23.1,53.4,Clear
QVDA3,11/22/20,63.4,38.7,49.3,35.8,,0,0,0,0,6.2,15.4,15,0,38.6,Clear
QVDA3,11/23/20,61.6,34.4,45.8,30.9,,0,0,0,0,5.4,15,15,43.2,34.5,Partially cloudy
QVDA3,11/24/20,58.9,37.5,44.6,34,,4.8,0,0,0,5.8,12.1,15,26.5,35.1,Partially cloudy
QVDA3,11/25/20,60,35.7,45.2,31.5,,4.8,0,0,0,4.4,8.1,15,27,20.9,Partially cloudy
QVDA3,11/26/20,62.9,37.3,47.2,41.2,,4.8,0,0,0,2.4,6.5,15,30.1,30.9,Partially cloudy
QVDA3,11/27/20,58.6,38.7,46.1,,,0,0,0,0,2.1,4.9,15,85.8,40.3,Overcast
QVDA3,11/28/20,62.3,36,45.1,31.9,,9.5,0,0,0,4.9,7.2,15,21.4,29.8,Clear
QVDA3,11/29/20,65.9,35.1,48,33.9,,19,0,0,0,5.5,15.4,15,33.6,31.8,Partially cloudy
QVDA3,11/30/20,58.7,44.3,51.2,40.8,,9.5,0.18,0,0,9.6,29.3,11.9,98,60.6,Overcast
