Name,Date_time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
QVDA3,10/1/20,95,69.8,80.7,,90.1,0,,17.2,24.2,9.9,0,8.07,Clear
QVDA3,10/2/20,95,68,79.4,,90.2,0,,19.7,23,9.9,0,6.78,Clear
QVDA3,10/3/20,91.4,64.4,77.2,,87.3,0,,15,19.7,9.9,0,7.69,Clear
QVDA3,10/4/20,91.4,64.4,76.9,,87.2,0,,17.2,,9.9,0,9.11,Clear
QVDA3,10/5/20,89.6,64.4,76.1,,85.6,0,,15,19.7,9.9,0,10.44,Clear
QVDA3,10/6/20,91.4,64.4,76,,87.2,0,,16.1,,9.9,0,11.81,Clear
QVDA3,10/7/20,89.6,64.4,75.7,,85.7,0,,16.1,20.8,9.9,0,12.94,Clear
QVDA3,10/8/20,87.8,62.6,73.9,,84.1,0,,13.9,19.7,9.9,0,15.89,Clear
QVDA3,10/9/20,87.8,62.6,72.6,,84.1,0,,15,20.8,9.9,0,19.44,Clear
QVDA3,10/10/20,82.4,59,70,,79.9,0,,16.1,27.7,9.9,0,21.76,Clear
QVDA3,10/11/20,80.6,59,69.5,,78.8,0,,10.3,16.1,9.9,0,24.54,Clear
QVDA3,10/12/20,86,62.6,72.6,,82.7,0,,18.3,25.3,9.9,0,16.46,Clear
QVDA3,10/13/20,87.8,62.6,72.8,,84.1,0,,15,,9.9,0,17.33,Clear
QVDA3,10/14/20,89.6,60.8,73.6,,85.7,0,,11.4,10.3,9.9,0,13.91,Clear
QVDA3,10/15/20,91.4,62.6,75.5,,87.1,0,,16.1,23,9.9,0,15.88,Clear
QVDA3,10/16/20,87.8,62.6,74.1,,84.2,0,,19.7,26.4,9.9,0,13.35,Clear
QVDA3,10/17/20,86,60.8,71.7,,82.7,0,,15,,9.9,0,15.73,Clear
QVDA3,10/18/20,84.2,57.2,70.4,,81.3,0,,10.3,,9.9,0,15.81,Clear
QVDA3,10/19/20,84.2,59,70.8,,81.3,0,,10.3,,9.9,0,17.21,Clear
QVDA3,10/20/20,86,60.8,70.9,,82.7,0,,12.8,,9.9,0,15.78,Clear
QVDA3,10/21/20,82.4,59,69.1,,79.9,0,,12.8,,9.9,0,17.06,Clear
QVDA3,10/22/20,82.4,57.2,68.1,,80,0,,11.4,18.3,9.9,0,24.37,Clear
QVDA3,10/23/20,80.6,57.2,67.2,,79,0,,15,21.9,9.9,0,34.98,Clear
QVDA3,10/24/20,77,59,66.1,,,0,,13.9,18.3,9.9,0,39.41,Clear
QVDA3,10/25/20,71.6,55.4,62.8,,,0,,24.2,39.1,9.9,35,46.37,Partially cloudy
QVDA3,10/26/20,51.8,32,41.1,18.6,,0,,25.3,40.3,9.9,39.6,37.16,Partially cloudy
QVDA3,10/27/20,57.2,32,42.6,20.1,,0,,19.7,27.7,9.9,0,24.96,Clear
QVDA3,10/28/20,66.2,37.4,50.8,30.3,,0,,10.3,,9.9,0,23.35,Clear
QVDA3,10/29/20,71.6,48.2,59.8,47.3,,0,,13.9,21.9,9.9,0,25.91,Clear
QVDA3,10/30/20,73.4,51.8,61.4,,,0,,13.9,,9.9,0,27.12,Clear
QVDA3,10/31/20,77,51.8,63.9,,,0,,16.1,20.8,9.9,0,22.76,Clear
QVDA3,11/1/20,82.4,62.6,71.2,,79.9,0,,13.9,18.3,9.9,2.1,18.67,Clear
QVDA3,11/2/20,82.4,64.4,70.8,,79.9,0,,15,19.7,9.9,9.5,21.05,Clear
QVDA3,11/3/20,77,57.2,65.5,,,0,,11.4,,9.9,32,28.29,Partially cloudy
QVDA3,11/4/20,80.6,55.4,67.3,,78.7,0,,17.2,23,9.9,0,25.84,Clear
QVDA3,11/5/20,84.2,62.6,71.2,,81.3,0,,20.8,26.4,9.9,0,20.75,Clear
QVDA3,11/6/20,78.8,64.4,69.1,,,0,,18.3,30,9.9,37.5,20.34,Partially cloudy
QVDA3,11/7/20,66.2,42.8,56.2,34.5,,0,,35.8,49.4,9.9,79.4,47.33,Overcast
QVDA3,11/8/20,44.6,35.6,40.2,26.6,,0.07,,25.3,38,9.7,87.8,71.38,"Rain, Overcast"
QVDA3,11/9/20,46.4,33.8,37.3,25.8,,0,,12.8,18.3,9.9,58.6,70.95,Partially cloudy
QVDA3,11/10/20,51.8,30.2,39.9,20.2,,0,,16.1,,9.9,0,45.43,Clear
QVDA3,11/11/20,59,35.6,46.4,27.6,,0,,16.1,20.8,9.9,0,37.08,Clear
QVDA3,11/12/20,62.6,41,51.1,34.9,,0,,12.8,,9.9,2.1,29.51,Clear
QVDA3,11/13/20,64.3,42.7,51.5,36.9,,0,,12.8,19.7,9.9,0,28.94,Clear
QVDA3,11/14/20,64.3,44.5,52.9,41.8,,0,,15,20.8,9.9,0,25.26,Clear
QVDA3,11/15/20,51.7,46.3,47.1,40.2,,0,,13.9,20.8,9.9,0,26.02,Clear
